iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-oct-2017"
Total Net Assets,"19,458,359,427.09"
,"131,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"BIIB","BIOGEN INC INC","Equity","0.53","311.66","331,485.00","103,310,615.10","103,310,615.10","Cuidado de la Salud","2455965","US09062X1037","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.52","144.16","705,173.00","101,657,739.68","101,657,739.68","Industriales","2020459","US4385161066","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.51","115.79","865,856.00","100,257,466.24","100,257,466.24","Industriales","2914734","US9078181081","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.50","143.67","672,855.00","96,669,077.85","96,669,077.85","Bienes Raíces","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.48","56.43","1,672,025.00","94,352,370.75","94,352,370.75","Tecnología de la Información","2046552","US0382221051","NASDAQ"
"GD","GENERAL DYNAMICS CORP","Equity","0.45","202.98","436,634.00","88,627,969.32","88,627,969.32","Industriales","2365161","US3695501086","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.45","170.03","520,790.00","88,549,923.70","88,549,923.70","Cuidado de la Salud","2695921","US00817Y1082","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.45","225.81","386,939.00","87,374,695.59","87,374,695.59","Industriales","2142784","US31428X1063","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.45","61.66","1,414,074.00","87,191,802.84","87,191,802.84","Cuidado de la Salud","2126335","US1101221083","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.43","44.84","1,868,560.00","83,786,230.40","83,786,230.40","Financieros","2779397","US8085131055","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.42","116.26","696,686.00","80,996,714.36","80,996,714.36","Tecnología de la Información","2065308","US0530151036","NASDAQ"
"NOC","NORTHROP GRUMMAN CORP","Equity","0.41","295.53","273,022.00","80,686,191.66","80,686,191.66","Industriales","2648806","US6668071029","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.40","154.87","504,337.00","78,106,671.19","78,106,671.19","Cuidado de la Salud","2853688","US8636671013","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.40","65.49","1,183,569.00","77,511,933.81","77,511,933.81","Tecnología de la Información","2575818","US00507V1098","NASDAQ"
"ITW","ILLINOIS TOOL INC","Equity","0.39","156.52","485,578.00","76,002,668.56","76,002,668.56","Industriales","2457552","US4523081093","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.39","54.38","1,395,203.00","75,871,139.14","75,871,139.14","Financieros","2736035","US9029733048","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.38","208.67","357,141.00","74,524,612.47","74,524,612.47","Cuidado de la Salud","2087807","US0758871091","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.38","193.83","382,712.00","74,181,066.96","74,181,066.96","Cuidado de la Salud","2886907","US8835561023","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.36","69.80","997,571.00","69,630,455.80","69,630,455.80","Consumo discrecional","2989301","US8725401090","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.35","79.95","847,096.00","67,725,325.20","67,725,325.20","Consumo discrecional","2536763","US5486611073","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.34","375.36","175,354.00","65,820,877.44","65,820,877.44","Cuidado de la Salud","2871301","US46120E6023","NASDAQ"
"CAT","CATERPILLAR INC","Equity","0.34","135.80","481,807.00","65,429,390.60","65,429,390.60","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.33","80.93","803,509.00","65,027,983.37","65,027,983.37","Financieros","2567741","US5717481023","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.33","54.99","1,174,236.00","64,571,237.64","64,571,237.64","Consumo discrecional","2640147","US6541061031","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.32","156.47","402,795.00","63,025,333.65","63,025,333.65","Financieros","BYV2325","US78409V1044","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.32","64.00","979,568.00","62,692,352.00","62,692,352.00","Energía","2779201","AN8068571086","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.31","66.10","922,628.00","60,985,710.80","60,985,710.80","Financieros","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.31","28.14","2,151,220.00","60,535,330.80","60,535,330.80","Cuidado de la Salud","2113434","US1011371077","New York Stock Exchange Inc."
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.30","219.09","269,542.00","59,053,956.78","59,053,956.78","Productos básicos de consumo","2170473","US21036P1084","New York Stock Exchange Inc."
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.30","119.48","490,444.00","58,598,249.12","58,598,249.12","Consumo discrecional","2210614","US5719032022","NASDAQ"
"EA","ELECTRONIC ARTS INC","Equity","0.30","119.60","484,027.00","57,889,629.20","57,889,629.20","Tecnología de la Información","2310194","US2855121099","NASDAQ"
"HUM","HUMANA INC","Equity","0.30","255.35","226,585.00","57,858,479.75","57,858,479.75","Cuidado de la Salud","2445063","US4448591028","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.30","151.02","381,620.00","57,632,252.40","57,632,252.40","Tecnología de la Información","2459020","US4612021034","NASDAQ"
"AON","AON PLC CLASS A","Equity","0.29","143.43","398,725.00","57,189,126.75","57,189,126.75","Financieros","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.29","463.50","122,179.00","56,629,966.50","56,629,966.50","Bienes Raíces","BVLZX12","US29444U7000","NASDAQ"
"MON","MONSANTO","Equity","0.29","121.10","461,506.00","55,888,376.60","55,888,376.60","Materiales","2654320","US61166W1018","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.29","155.07","359,613.00","55,765,187.91","55,765,187.91","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.28","180.20","304,880.00","54,939,376.00","54,939,376.00","Industriales","2758051","US7551115071","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.28","81.94","669,452.00","54,854,896.88","54,854,896.88","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.28","70.45","772,952.00","54,454,468.40","54,454,468.40","Productos básicos de consumo","2209106","US1941621039","New York Stock Exchange Inc."
"PLD","PROLOGIS REIT INC","Equity","0.28","64.58","833,859.00","53,850,614.22","53,850,614.22","Bienes Raíces","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"LRCX","LAM RESEARCH CORP","Equity","0.27","208.57","254,500.00","53,081,065.00","53,081,065.00","Tecnología de la Información","2502247","US5128071082","NASDAQ"
"AXP","AMERICAN EXPRESS","Equity","0.27","95.52","551,924.00","52,719,780.48","52,719,780.48","Financieros","2026082","US0258161092","New York Stock Exchange Inc."
"ADI","ANALOG DEVICES INC","Equity","0.27","91.30","576,442.00","52,629,154.60","52,629,154.60","Tecnología de la Información","2032067","US0326541051","NASDAQ"
"WM","WASTE MANAGEMENT INC","Equity","0.27","82.17","634,175.00","52,110,159.75","52,110,159.75","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
