iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-ago-2017"
Total Net Assets,"19,080,155,307.33"
,"133,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.32","27.55","2,192,922.00","60,415,001.10","60,415,001.10","Cuidado de la Salud","2113434","US1011371077","New York Stock Exchange Inc."
"EA","ELECTRONIC ARTS INC","Equity","0.32","121.50","496,488.00","60,323,292.00","60,323,292.00","Tecnología de la Información","2310194","US2855121099","NASDAQ"
"HUM","HUMANA INC","Equity","0.31","257.62","231,131.00","59,543,968.22","59,543,968.22","Cuidado de la Salud","2445063","US4448591028","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.31","1,004.67","59,121.00","59,397,095.07","59,397,095.07","Cuidado de la Salud","2871301","US46120E6023","NASDAQ"
"AON","AON PLC CLASS A","Equity","0.31","139.16","420,290.00","58,487,556.40","58,487,556.40","Financieros","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.31","468.41","124,742.00","58,430,400.22","58,430,400.22","Bienes Raíces","BVLZX12","US29444U7000","NASDAQ"
"CAT","CATERPILLAR INC","Equity","0.30","117.49","490,541.00","57,633,662.09","57,633,662.09","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.30","182.01","312,941.00","56,958,391.41","56,958,391.41","Industriales","2758051","US7551115071","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.30","71.64","792,714.00","56,790,030.96","56,790,030.96","Productos básicos de consumo","2209106","US1941621039","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.29","81.29","684,283.00","55,625,365.07","55,625,365.07","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
